ID Item Inventaire;Item;Category;Type TVA;Lettre Fiscale;Taux de TVA en %;InventoryQty;UsageQty;BuyingCost;Conditionnement;Unité inventaire;Unité usage;Code Fournisseur;Fournisseur
10077;CUP AIGRE DOUCE;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;120.000000;1.000000;12.950000;COLIS;PIECE;PIECE;4074;BIDVEST
10066;KETCHUP BIB HEINZ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;1.000000;15000.000000;17.800000;COLIS;COLIS;GRAMME;3851;BIDVEST
10142;PATTY KING FISH MSC;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;130.000000;1.000000;36.770000;COLIS;PIECE;PIECE;5674;BIDVEST
10154;FF CHICKEN WINGS;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;16.000000;28.000000;61.770000;COLIS;SACHET;PIECE;5924;BIDVEST
11871;BUN SUPREME FRAIS16;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;2.000000;20.000000;6.700000;COLIS;SACHET;PIECE;1760;BIDVEST
11205;BUN BLC QMAX SURG ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;2.000000;20.000000;5.460000;COLIS;SACHET;PIECE;217;BIDVEST
11923;MIX ICEBERG/BAT 16;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;4.000000;500.000000;5.160000;COLIS;SACHET;GRAMME;1772;BIDVEST
11924;CKN STICKS DEPANNAGE;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;2.000000;56.000000;22.440000;COLIS;SACHET;PIECE;1783;BIDVEST
11925;SPICY CHEESY;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;10.000000;100.000000;49.910000;COLIS;SACHET;PIECE;1775;BIDVEST
11825;CKN STICKS ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;28.000000;28.050000;COLIS;SACHET;PIECE;1247;BIDVEST
11826;TORTILLA 20CM SG;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;8.000000;18.000000;9.900000;COLIS;SACHET;PIECE;1735;BIDVEST
11827;TORTILLA 25CM SG;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;8.000000;18.000000;16.420000;COLIS;SACHET;PIECE;1736;BIDVEST
11831;CUP MAYO FCE HZ 16;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;150.000000;1.000000;14.350000;COLIS;PIECE;PIECE;1746;BIDVEST
11880;PATTY 120G HS16;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;50.000000;1.000000;29.300000;COLIS;PIECE;PIECE;1758;BIDVEST
11881;PATTY 150G HS16;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;40.000000;1.000000;29.300000;COLIS;PIECE;PIECE;1759;BIDVEST
11745;BUN SUPREME SURG16;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;2.000000;20.000000;7.590000;COLIS;SACHET;PIECE;1563;BIDVEST
11790;SAU.TOM ONION 300ML;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;12.000000;300.000000;33.300000;COLIS;PIECE;GRAMME;1120;BIDVEST
11791;YOP 180G 2016;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;24.000000;1.000000;6.240000;COLIS;PIECE;PIECE;1622;BIDVEST
11792;MINI YOP 100G 2016;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;24.000000;1.000000;5.100000;COLIS;PIECE;PIECE;1623;BIDVEST
11793;PTIT DROS 2016;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;24.000000;1.000000;5.910000;COLIS;PIECE;PIECE;1747;BIDVEST
11795;FRITE DELIVERY;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;4.000000;2500.000000;10.500000;COLIS;SACHET;GRAMME;1558;BIDVEST
11721;16BDY CUP CAKES;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;12.000000;18.470000;COLIS;SACHET;PIECE;1164;BIDVEST
11731;SAU.BBQ CL HZ7400117;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;10.000000;480.000000;14.520000;COLIS;PIECE;GRAMME;1052;BIDVEST
11732;CHE.EMMENTAL TR 20G;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;6.000000;30.000000;18.970000;COLIS;SACHET;PIECE;828;BIDVEST
11735;PATTY 120G HS KEPAK;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;2.000000;43.000000;50.400000;COLIS;SACHET;PIECE;1115;BIDVEST
11737;PATTY CKN SUPR 129G;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;10.000000;10.000000;55.060000;COLIS;SACHET;PIECE;1593;BIDVEST
11741;MINI CREPES;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;12.000000;15.000000;16.480000;COLIS;SACHET;PIECE;1557;BIDVEST
11574;VINAIG.BALSAMICO;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;140.000000;1.000000;19.040000;COLIS;PIECE;PIECE;1054;BIDVEST
11623;CUP BBQ SOREAL15;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;416.000000;1.000000;24.850000;COLIS;PIECE;PIECE;1066;BIDVEST
11642;FISH N DIPS 21G MSC;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;53.000000;26.080000;COLIS;SACHET;PIECE;1085;BIDVEST
11659;BUN LONG DIEPV;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;2.000000;24.000000;7.560000;COLIS;SACHET;PIECE;215;BIDVEST
11698;TEST KETCHUP HZ ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;8.000000;1130.000000;10.010000;COLIS;SACHET;GRAMME;1570;BIDVEST
11699;TEST MUSTARD HZ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;8.000000;1130.000000;16.690000;COLIS;SACHET;GRAMME;1571;BIDVEST
11518;TEST SAU.BBQ GRILLE ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;12.000000;480.000000;0.000000;COLIS;PIECE;GRAMME;333;BIDVEST
11519;TEST SAU.CHE/ONION ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;6.000000;470.000000;0.000000;COLIS;PIECE;GRAMME;334;BIDVEST
11521;TEST ONION PETALS;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;1000.000000;0.000000;COLIS;SACHET;GRAMME;336;BIDVEST
11557;YAOURT FRAISE 15;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;12.000000;1.000000;5.170000;COLIS;PIECE;PIECE;1094;BIDVEST
11563;VINAIG.CIBOULETTE;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;140.000000;1.000000;18.260000;COLIS;PIECE;PIECE;1087;BIDVEST
11564;VINAIG.CITRON OLIVE;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;140.000000;1.000000;18.910000;COLIS;PIECE;PIECE;1088;BIDVEST
11423;CREME FOUETTE DEBIC ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;1.000000;716.000000;3.620000;COLIS;BIDON;GRAMME;9039;BIDVEST
11464;CUP COCKTAIL VDM;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;120.000000;1.000000;9.560000;COLIS;PIECE;PIECE;323;BIDVEST
11481;CHEESY BALLS 2015;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;100.000000;24.540000;COLIS;SACHET;PIECE;811;BIDVEST
11490;CHEESY TRIO  ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;10.000000;100.000000;68.320000;COLIS;SACHET;PIECE;829;BIDVEST
11514;BOUCHEES DE POULET;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;1000.000000;38.530000;COLIS;SACHET;GRAMME;329;BIDVEST
11517;TEST SAU.CAESAR ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;12.000000;480.000000;0.000000;COLIS;PIECE;GRAMME;332;BIDVEST
11349;SAU.GIANT SHM328;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;12.000000;940.000000;27.220000;COLIS;PIECE;GRAMME;450;BIDVEST
11380;DONUT CHOCO 14;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;24.000000;1.000000;9.400000;COLIS;PIECE;PIECE;1539;BIDVEST
11381;MUFFIN CHOCO;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;60.000000;1.000000;23.250000;COLIS;PIECE;PIECE;1254;BIDVEST
11383;CHE.CHEDDAR 17G;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;8.000000;72.000000;38.500000;COLIS;SACHET;PIECE;782;BIDVEST
11387;BUN TOAST SURG;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;5.000000;19.000000;7.640000;COLIS;SACHET;PIECE;9934;BIDVEST
11397;LAIT DEMI ECREME ;NOURRITURE FRAI/SURG;TVA 3 (ii);;3.000000;6.000000;100.000000;4.190000;COLIS;BIDON;CENTILITRE;321;BIDVEST
