DivisionID;Item Name;ItemID;ID de Recette;ID Item si pas de recette;Code PLU;
10026;SM STUD CHEESE N T .;14832;NULL;NULL;M000;
10013;SM SUP CHK BBQ     .;14225;NULL;NULL;M000;
10026;SM STUD HEROS      .;14713;NULL;NULL;M000;
10010;MOK CHEESEBURGER   .;13984;NULL;NULL;M000;
10020;FBOX CINEMA        .;14106;NULL;NULL;M000;
10006;BDY PARTY MB 5Y;13987;10104;NULL;M000;
10014;QM CHEESE N TOAST  .;14829;NULL;NULL;M000;
10020;FB HAMBURGER      .;13978;NULL;NULL;M000;
10014;QM SUP CHK BBQ     .;14222;NULL;NULL;M000;
10022;QM PASTA COLD S    .;14695;NULL;NULL;M000;
10020;FB SUPREME CHK BBQ .;14219;NULL;NULL;M000;
10016;MB HAMBURGER       .;13981;NULL;NULL;M000;
10020;FB KING FISH       .;13972;NULL;NULL;M000;
10010;MOK JUNIOR GIANT   .;14326;NULL;NULL;M000;
10026;COMBO STUD €4.5    .;14683;NULL;NULL;M000;
10026;QM+ STUD SUP PEPPER.;14567;NULL;NULL;M000;
10022;QM CHE CHK HOT SL  .;14689;NULL;NULL;M000;
10013;SM YB BEARNAISE    .;14758;NULL;NULL;M000;
10033;BREAKFAST PLUS;14032;NULL;NULL;M000;
10026;SM STUD MEGA BBQ BC.;14511;NULL;NULL;M000;
10026;SM STUD YB BEA     .;14761;NULL;NULL;M000;
10014;QM YB BEARNAISE    .;14755;NULL;NULL;M000;
10026;SM STUD SUPR CKN   .;14877;NULL;NULL;M000;
10014;QM KING FISH       .;13951;NULL;NULL;M000;
10026;QM STUD Q N TOAST  .;14555;NULL;NULL;M000;
10026;QM STUD SUP CHEESE .;14552;NULL;NULL;M000;
10026;QM+STUD BIG BACON  .;14558;NULL;NULL;M000;
10026;QM+ STUD DIPS7     .;14561;NULL;NULL;M000;
10026;QM+STUD BRETZ BAC  .;14793;NULL;NULL;M000;
10014;MAXI LOCAL+1€      .;14624;NULL;NULL;M000;
10026;QM STUD FN DIPS/7 . ;14740;NULL;NULL;M000;
10033;BREAKFAST +;14386;NULL;NULL;M000;
10022;SM ITALIAN HOT SL  .;14862;NULL;NULL;M000;
10014;QM SUPREME CHE     .;14868;NULL;NULL;M000;
10026;QM STUD SUPR CHE   .;14871;NULL;NULL;M000;
10026;QM STUD WRAP GIANT .;14850;NULL;NULL;M000;
10022;QM ITALIAN COLD SL .;14859;NULL;NULL;M000;
10013;SM FN DIPS/7       .;14737;NULL;NULL;M000;
10016;MAGIC BOX;14005;NULL;NULL;M000;
10026;SM STUD TWIN BEEF  .;14728;NULL;NULL;M000;
10014;QM TWIN BEEF       .;14725;NULL;NULL;M000;
10020;FB JUNIOR WRAP     .;14841;NULL;NULL;M000;
10014;QM WRAP GIANT CKN  .;14847;NULL;NULL;M000;
10033;BREAKFAST PLUS     .;13996;NULL;NULL;M000;
10026;QM+STUD CHEESE N T .;14834;NULL;NULL;M000;
10033;BREAKFAST EXPRESS  .;13995;NULL;NULL;M000;
10010;MOK BEEF HOLIDAY   .;14358;NULL;NULL;M000;
10026;QM+STUD HEROS      .;14715;NULL;NULL;M000;
10013;SM Q N TOAST       .;13926;NULL;NULL;M000;
10026;SM STUD BIG GIANT  .;14533;NULL;NULL;M000;
10014;MENU BUSINESS+1€   .;14774;NULL;NULL;M000;
10026;QM+STUD YB ESPEL   .;14768;NULL;NULL;M000;
10013;SM KING FISH       .;13932;NULL;NULL;M000;
10026;SM STUD MEGA GIANT .;14646;NULL;NULL;M000;
10026;SM STUD CHK BBQ BC .;14530;NULL;NULL;M000;
10026;SM STUD SUPR CHE   .;14870;NULL;NULL;M000;
10013;SM SUPREME CKN     .;14876;NULL;NULL;M000;
10026;QM+STUD MEGA BBQ BC.;14513;NULL;NULL;M000;
10014;QM YB ROQUEFORT    .;14757;NULL;NULL;M000;
10033;BREAKFAST EXPRESS;14031;NULL;NULL;M000;
10026;QM+STUD SUPR CHE   .;14872;NULL;NULL;M000;
10026;QM STUD MEGA BBQ BC.;14512;NULL;NULL;M000;
10013;SM SUPREME CHE     .;14869;NULL;NULL;M000;
10024;BKF CARD;14384;NULL;NULL;M000;
10014;MAXI LOCAL         .;14622;NULL;NULL;M000;
10026;QM+STUD FN DIPS/7  .;14741;NULL;NULL;M000;
10014;QM MEGA BBQ BC     .;14497;NULL;NULL;M000;
10026;SM STUD FN DIPS/7  .;14738;NULL;NULL;M000;
10022;QM ITALIAN HOT SL  .;14860;NULL;NULL;M000;
10010;MOK BEEF SAMOURAÎ  .;14619;NULL;NULL;M000;
10013;SM YB ESPELETTE    .;14759;NULL;NULL;M000;
10026;QM+STUD SUPR CKN   .;14878;NULL;NULL;M000;
10010;OK CHEESE DELICE   .;14402;NULL;NULL;M000;
10026;SM STUD YB ESPEL   .;14762;NULL;NULL;M000;
10014;QM SUPREME CKN     .;14875;NULL;NULL;M000;
10014;QM YB ESPELETTE    .;14756;NULL;NULL;M000;
10026;QM STUD YB ESPEL   .;14765;NULL;NULL;M000;
10026;SM STUD BIG PEPPER .;14884;NULL;NULL;M000;
10022;QM PASTA HOT S     .;14694;NULL;NULL;M000;
10022;SM CHE CHK HOT SL  .;14691;NULL;NULL;M000;
10020;FB CHICKEN FILET   .;13971;NULL;NULL;M000;
10022;SM PASTA COLD SL   .;14697;NULL;NULL;M000;
10020;FB CHICKEN DIPS 7  .;13974;NULL;NULL;M000;
10010;MOK OK OK          .;14807;NULL;NULL;M000;
10026;QM+ STUD SUP BBQ BA.;14566;NULL;NULL;M000;
10026;QM+ STUD GIANT     .;14563;NULL;NULL;M000;
10014;QM CHICKEN WINGS   .;13956;NULL;NULL;M000;
