ID Item Inventaire;Item;Category;Type TVA;Lettre Fiscale;Taux de TVA en %;InventoryQty;UsageQty;BuyingCost;Conditionnement;Unité inventaire;Unité usage;Code Fournisseur;Fournisseur;
10485;KIT MT MARSUPI FR;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5555;BIDVEST;
10486;[KIT GLASS DC COMICS;003;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5454;BIDVEST;
10487;KIT MT MEDIATOON NL;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5526;BIDVEST;
10683;KIT MB LOLI/DRAGONS;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5301;BIDVEST;
10684;KIT MT M POKORA;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5714;BIDVEST;
10535;[ANNIF. CADRE PHOTO;003;A TVA 21% (ii);A;21;3;1;0;COLIS;PIECE;COLIS;5984;BIDVEST;
10977;KIT MT LOCO QUIZ NL;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5560;BIDVEST;
11035;KIT MB LOCO QUIZ NL;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5307;BIDVEST;
11044;KIT MTOP DEP NL;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;4913;BIDVEST;
11045;KIT MBOX DEP NL;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;4914;BIDVEST;
11089;KIT MB DEP FR;PRIMES;A TVA 21% (ii);A;21;1;1;0;COLIS;COLIS;COLIS;5138;BIDVEST;
11693;[PRI.MT DC SUPERWOM;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;COLIS;882;BIDVEST;
11799;KAY DETERG WM SOLID;003;A TVA 21% (ii);A;21;4;4.5;57.18;COLIS;PIECE;KILO;1532;BIDVEST;
11043;SEL DENEIG. 25KG_13;003;A TVA 21% (ii);A;21;1;25;4.43;PIECE;PIECE;KILO;9610;BIDVEST;
10063;SEL ADOUCISSEUR;003;A TVA 21% (ii);A;21;1;25;5.3;COLIS;PIECE;KILO;3730;BIDVEST;
10190;[KAY MULTI WASMACH.;003;A TVA 21% (ii);A;21;4;4.5;57.18;COLIS;PIECE;KILO;6190;BIDVEST;
10179;KAY DRIVE DEGREASER;003;A TVA 21% (ii);A;21;4;4;31.35;COLIS;PIECE;LITRE;6174;BIDVEST;
10180;KAY DRY WASHMACHINE;003;A TVA 21% (ii);A;21;2;5;65.74;COLIS;PIECE;LITRE;6175;BIDVEST;
10186;KAY MATCH UP FLOOR;003;A TVA 21% (ii);A;21;6;1;38.73;COLIS;PIECE;LITRE;6184;BIDVEST;
10196;KAY FREEZER CLEAN.;003;A TVA 21% (ii);A;21;2;5;52.01;COLIS;PIECE;LITRE;6204;BIDVEST;
10231;KAY EPICARE 5;003;A TVA 21% (ii);A;21;3;5;63.74;COLIS;PIECE;LITRE;7339;BIDVEST;
10176;KAY CAPIT. DEGREASER;003;A TVA 21% (ii);A;21;1;10;25.45;COLIS;PIECE;LITRE;6171;BIDVEST;
11307;[EAU DISTILLEE 5L;003;A TVA 21% (ii);A;21;4;5;7.37;COLIS;BIDON;LITRE;812;BIDVEST;
